Mass,Intensity,Charge,mz
7267.806885032071,30603.6,5.0,1454.3676370320702
6656.4703750320705,41252.96,5.0,1332.10033503207
2348.2495150320697,19311.59,1.0,2348.2495150320697
4846.63591503207,26279.28,3.0,1616.2171883654034
8384.49557503207,83740.14,6.0,1398.2557833654034
3210.68534503207,16899.38,3.0,1070.9003316987369
7400.85711503207,49915.72,5.0,1480.97768303207
7024.654195032071,76125.8,5.0,1405.73709903207
2304.23780503207,20441.76,1.0,2304.23780503207
6000.19672503207,37306.41,4.0,1500.80505003207
1803.0503850320702,42043.56,2.0,902.02910503207
3344.8381850320698,19387.27,2.0,1672.92300503207
6981.65285503207,49028.37,5.0,1397.13683103207
4124.23025503207,35547.45,3.0,1375.4153016987366
7083.70806503207,79778.54,5.0,1417.5478730320701
8025.28061503207,29938.54,6.0,1338.3866233654035
1478.86295503207,36534.94,1.0,1478.86295503207
9630.05491503207,34378.98,6.0,1605.8490066987367
2348.2519950320698,28095.5,2.0,1174.62991003207
6839.56385503207,26599.03,5.0,1368.71903103207
3914.2511350320697,48588.2,3.0,1305.4222616987367
25568.62747503207,44446.44,18.0,1421.431138920959
9939.81109503207,30085.97,7.0,1420.8368636034986
6282.39110503207,15185.97,5.0,1257.28448103207
8368.476085032069,44235.37,6.0,1395.5858683654033
2906.5387750320697,25754.04,2.0,1453.77330003207
6939.59301503207,21573.21,5.0,1388.72486303207
1552.83539503207,15906.35,1.0,1552.83539503207
8172.345655032071,46324.64,6.0,1362.8974633654034
8040.28328503207,26968.49,6.0,1340.8870683654034
16920.94218503207,451978.15,12.0,1411.00235503207
7453.93064503207,31833.95,5.0,1491.59238903207
15120.46093503207,35218.62,11.0,1375.5035623047975
5673.049175032071,48723.56,4.0,1419.0181625320702
1169.2785950320701,30942.17,1.0,1169.2785950320701
8243.37548503207,21049.57,6.0,1374.7357683654034
15706.944275032069,22232.84,11.0,1428.8202295775245
6430.44033503207,21814.85,5.0,1286.89432703207
11619.17139503207,27774.97,8.0,1453.2782712820701
2692.42614503207,22747.87,2.0,1346.7169850320702
11136.865055032069,61402.04,8.0,1392.98997878207
21449.32133503207,65826.18,15.0,1430.8953923654035
4352.292555032071,24447.3,3.0,1451.4360683654036
4212.27013503207,52156.49,3.0,1404.7619283654035
16784.94511503207,49269.34,12.0,1399.6692658654035
25220.41497503207,36273.18,18.0,1402.08600003207
